from,to,time_step,flow
GER,NED,554,5000.0
GER,NED,555,5000.0
GER,NED,556,5000.0
GER,NED,557,5000.0
GER,NED,558,5000.0
GER,NED,559,5000.0
GER,NED,560,5000.0
GER,NED,561,5000.0
GER,NED,562,-5000.0
GER,NED,563,-5000.0
GER,NED,564,-5000.0
GER,NED,565,-5000.0
GER,NED,566,-5000.0
GER,NED,567,-5000.0
GER,NED,568,-3675.3950388170997
GER,NED,569,5000.0
GER,NED,570,5000.0
GER,NED,571,5000.0
GER,NED,572,5000.0
GER,NED,573,5000.0
GER,NED,574,5000.0
GER,NED,575,5000.0
GER,NED,576,5000.0
GER,NED,577,5000.0
GER,NED,578,5000.0
GER,NED,579,5000.0
GER,NED,580,5000.0
GER,NED,581,5000.0
GER,NED,582,5000.0
GER,NED,583,5000.0
GER,NED,584,5000.0
GER,NED,585,4227.045143536801
GER,NED,586,-3687.742991604
GER,NED,587,-4362.513603531199
GER,NED,588,-5000.0
GER,NED,589,-5000.0
GER,NED,590,-4627.974938134001
GER,NED,591,2135.504440991799
GER,NED,592,5000.0
GER,NED,593,5000.0
GER,NED,594,5000.0
GER,NED,595,5000.0
GER,NED,596,5000.0
GER,NED,597,5000.0
GER,NED,598,5000.0
GER,NED,599,5000.0
GER,NED,600,5000.0
GER,NED,601,5000.0
GER,NED,602,5000.0
GER,NED,603,5000.0
GER,NED,604,5000.0
GER,NED,605,5000.0
GER,NED,606,5000.0
GER,NED,607,5000.0
GER,NED,608,5000.0
GER,NED,609,5000.0
GER,NED,610,5000.0
GER,NED,611,5000.0
GER,NED,612,1788.948294879101
GER,NED,613,-966.9635610331025
GER,NED,614,-3428.747065899497
GER,NED,615,-4670.512017235498
GER,NED,616,5000.0
GER,NED,617,5000.0
GER,NED,618,5000.0
GER,NED,619,5000.0
GER,NED,620,5000.0
GER,NED,621,5000.0
GER,NED,622,5000.0
GER,NED,623,5000.0
GER,NED,624,5000.0
GER,NED,625,5000.0
GER,NED,626,5000.0
GER,NED,627,5000.0
GER,NED,628,5000.0
GER,NED,629,5000.0
GER,NED,630,5000.0
GER,NED,631,5000.0
GER,NED,632,5000.0
GER,NED,633,639.1328233520981
GER,NED,634,-5000.0
GER,NED,635,-5000.0
GER,NED,636,-5000.0
GER,NED,637,-5000.0
GER,NED,638,-5000.0
GER,NED,639,-5000.0
GER,NED,640,3423.7158136192975
GER,NED,641,5000.0
GER,NED,642,5000.0
GER,NED,643,5000.0
GER,NED,644,5000.0
GER,NED,645,5000.0
GER,NED,646,5000.0
GER,NED,647,5000.0
GER,NED,648,5000.0
GER,NED,649,5000.0
GER,NED,650,5000.0
GER,NED,651,5000.0
GER,NED,652,5000.0
GER,NED,653,5000.0
GER,NED,654,5000.0
GER,NED,655,5000.0
GER,NED,656,5000.0
GER,NED,657,5000.0
GER,NED,658,5000.0
GER,NED,659,5000.0
GER,NED,660,5000.0
GER,NED,661,5000.0
GER,NED,662,5000.0
GER,NED,663,5000.0
GER,NED,664,5000.0
GER,NED,665,5000.0
GER,NED,666,5000.0
GER,NED,667,5000.0
GER,NED,668,5000.0
GER,NED,669,5000.0
GER,NED,670,5000.0
GER,NED,671,5000.0
GER,NED,672,5000.0
GER,NED,673,5000.0
GER,NED,674,5000.0
GER,NED,675,5000.0
GER,NED,676,5000.0
GER,NED,677,5000.0
GER,NED,678,5000.0
GER,NED,679,5000.0
GER,NED,680,4999.999999999996
GER,NED,681,-499.3192372814992
GER,NED,682,-5000.0
GER,NED,683,-5000.0
GER,NED,684,-5000.0
GER,NED,685,-5000.0
GER,NED,686,-5000.0
GER,NED,687,-5000.0
GER,NED,688,2082.5843749783016
GER,NED,689,5000.0
GER,NED,690,5000.0
GER,NED,691,5000.0
GER,NED,692,5000.0
GER,NED,693,5000.0
GER,NED,694,5000.0
GER,NED,695,5000.0
GER,NED,696,5000.0
GER,NED,697,5000.0
GER,NED,698,5000.0
