location,time_step,loss_of_load
NED,264,8376.6734934642
ITA,265,9025.9197345668
NED,265,7736.0219396013
ITA,266,7307.799470990451
NED,266,7313.8642027194
ITA,267,6502.49398735432
NED,267,6994.527085593199
ITA,268,6472.06682802298
NED,268,7003.425023841301
ITA,269,6955.85866139128
NED,269,7145.7920358109
ITA,270,9354.5330553453
NED,270,7664.8384336165
ITA,271,15460.789544540901
NED,271,9063.7920581783
NED,272,11300.1405378665
NED,273,12753.4704517223
NED,274,9996.888622692235
NED,275,9401.289406473632
NED,276,9016.746286528902
NED,277,5890.877248035702
NED,278,3941.4222892337693
NED,279,7010.4206167525335
NED,280,12131.694522829135
ITA,281,28798.772031735953
NED,281,13388.1900467532
ITA,282,32539.014227182
NED,282,14086.183869326
ITA,283,32351.3800779721
NED,283,13356.5529329821
ITA,284,31039.9695107914
NED,284,12833.551895955101
ITA,285,28633.1812076823
NED,285,12086.125083115101
ITA,286,25308.5069314113
NED,286,11148.8755876489
ITA,287,20920.910555832
NED,287,10124.6240293125
ITA,288,17110.4159689038
NED,288,9173.5332965715
ITA,289,13599.1217820672
NED,289,8385.5714317123
ITA,290,11562.5305841562
NED,290,7826.9786416929
ITA,291,10576.6906218208
NED,291,7488.856988265299
ITA,292,10308.931619705
NED,292,7474.0270911851
ITA,293,10465.1243709392
NED,293,7561.029154055401
ITA,294,12290.7539308196
NED,294,7978.243591910599
ITA,295,17516.651276695102
NED,295,9359.4013399762
NED,296,11494.9065195193
NED,297,12381.779909247067
NED,298,8327.695946538168
NED,299,2199.0687874843006
NED,300,1560.957199635901
NED,302,2541.6166378689704
NED,303,4970.526057928631
NED,304,10254.411729817299
ITA,305,30949.972196461753
NED,305,13404.997263443998
ITA,306,34048.2013300165
NED,306,14152.4240762841
ITA,307,33634.3919631103
NED,307,13503.863243978401
ITA,308,32224.600247424904
NED,308,12999.646743252899
ITA,309,29215.3541895553
NED,309,12219.594156836501
ITA,310,25657.4050250773
NED,310,11330.7889918322
ITA,311,21231.2675810117
NED,311,10249.1951647858
ITA,312,17378.1749710196
NED,312,9325.7869065945
ITA,313,13978.4470350646
NED,313,8483.4487524414
ITA,314,11826.2326316945
NED,314,7958.470395803701
ITA,315,10798.8088849395
NED,315,7739.9765788227
ITA,316,10543.2207465563
NED,316,7639.1332786776
ITA,317,10961.08706804
NED,317,7712.294104273
ITA,318,12985.5074022185
NED,318,8125.5539029068
ITA,319,18921.10187413865
NED,319,9480.0178362282
ITA,320,4315.018839342942
NED,320,11709.445697279
NED,321,11957.218839352967
NED,322,653.458586998333
NED,328,1662.7436152522332
ITA,329,30352.855559943102
NED,329,13180.5714876309
ITA,330,33704.3744295724
NED,330,14127.707581150498
ITA,331,33444.7293366116
NED,331,13589.8766470433
ITA,332,32061.30782568
NED,332,13102.467363008702
ITA,333,29121.0299956282
NED,333,12303.630240290699
ITA,334,25563.0808311501
NED,334,11388.131260542199
ITA,335,21724.1875621794
NED,335,10321.3673305759
ITA,336,17315.2921750682
NED,336,9381.1518556938
ITA,337,14402.3987884146
NED,337,8518.0518456284
ITA,338,12779.6169574098
NED,338,7949.5724575556
ITA,339,11769.4352676093
NED,339,7662.8611140058
ITA,340,11355.6259007031
NED,340,7570.9157521088
ITA,341,11750.1647333661
NED,341,7625.292041402699
ITA,342,13627.5204641098
NED,342,8086.0075106931
ITA,343,18814.876741499003
NED,343,9418.7209282968
NED,344,11539.396210759802
NED,345,11390.245213155198
NED,346,4149.512406091633
NED,350,3673.023924249901
NED,351,6821.115036196267
NED,352,11080.368680681
ITA,353,30486.735061001003
NED,353,13496.942625340998
ITA,354,33922.4357381136
NED,354,14080.251910494
ITA,355,33773.3426573901
NED,355,13526.602419501301
ITA,356,32360.508225771497
NED,356,13072.807568848399
ITA,357,29469.9280892942
NED,357,12261.117868660898
ITA,358,26025.5736529865
NED,358,11269.4920839009
ITA,359,21755.6289601551
NED,359,10296.6508354423
ITA,360,17953.248282382
NED,360,9421.6869077129
ITA,361,14433.8401863903
NED,361,8546.7229799834
ITA,362,12410.4340908562
NED,362,8017.7899841243
ITA,363,11125.3937284293
NED,363,7697.464207192899
ITA,364,10697.3850205017
NED,364,7588.711628605
ITA,365,11163.9347969156
NED,365,7639.1332786776
ITA,366,12928.7100381333
NED,366,8048.438438089999
ITA,367,18425.4091020578
NED,367,9293.1611330181
ITA,368,887.293069236799
NED,368,11477.110643023101
NED,369,1920.7382801128697
ITA,376,6856.496418569892
ITA,377,30387.339673852002
NED,377,12646.695192745101
ITA,378,33537.02505325
NED,378,13567.1374715204
ITA,379,33056.2759358148
NED,379,13149.9230336652
ITA,380,31606.9289129987
NED,380,12549.8065318214
ITA,381,28320.7957052139
NED,381,11786.5611620958
ITA,382,24785.1597909122
NED,382,10903.6879559236
ITA,383,20809.3443049504
NED,383,9974.3477389002
ITA,384,17172.2845262109
NED,384,9215.057008396
ITA,385,14015.9738649066
NED,385,8439.9477210062
ITA,386,11957.0694168192
NED,386,7864.547714296001
ITA,387,10661.8866679485
NED,387,7483.9136892384995
ITA,388,10083.770640653
NED,388,7317.8188419408
ITA,389,9415.3873740079
NED,389,7322.762140967499
ITA,390,9840.3533660023
NED,390,7477.9817304065
ITA,391,11948.481119059903
NED,391,7978.243591910599
NED,392,8863.0941176935
ITA,401,17862.236729407952
NED,401,10731.6611497937
ITA,402,22386.4853969582
NED,402,11835.005492557699
ITA,403,23980.8685459204
NED,403,11830.0621935309
ITA,404,23774.9781011117
NED,404,11369.3467242406
ITA,405,21406.7308664891
NED,405,10742.5364076525
ITA,406,18270.7049780723
NED,406,9998.0755742284
ITA,407,15615.4282070907
NED,407,9389.0611341365
ITA,408,12973.336538486
NED,408,8715.7838066972
ITA,409,10422.5263478753
NED,409,8079.0868920557
ITA,410,8268.28346721642
NED,410,7534.335339311099
ITA,411,7187.10507230947
NED,411,7163.587912307101
ITA,412,6539.00657855193
NED,412,6979.697188513101
ITA,413,6292.54658796807
NED,413,6920.3776001924
ITA,414,6777.35265998076
NED,414,6966.8446110436
ITA,415,8000.524465100631
NED,415,7308.9209036927
NED,416,7777.5456514257
NED,417,2285.6154070134344
NED,424,6858.4108427945675
ITA,425,12587.721390038054
NED,425,10514.155992618
ITA,426,17180.3984353659
NED,426,11665.9446658438
ITA,427,19181.4912807237
NED,427,11754.9240483248
ITA,428,19922.8997297641
NED,428,11410.870436065099
ITA,429,18957.3445403162
NED,429,10857.2209450724
ITA,430,17229.0818902961
NED,430,10089.0322763201
ITA,431,14455.1391979222
NED,431,9373.242577251
ITA,432,11495.5908336272
NED,432,8468.6188553612
ITA,433,8950.8660748828
NED,433,7840.819878967701
ITA,434,7378.79617609691
NED,434,7512.584823593499
ITA,435,6679.98575012047
NED,435,7310.8982233033
ITA,436,6586.67579483769
NED,436,7258.499253620101
ITA,437,7096.837832959831
NED,437,7404.820904811
ITA,438,9440.7433401174
NED,438,7911.014725147201
ITA,439,15686.964762237203
NED,439,9234.8302045028
NED,440,11422.7343537292
NED,441,1058.2009164513656
NED,448,7963.397580435999
ITA,449,28649.204562408155
NED,449,13308.1086025203
ITA,450,32382.8214759478
NED,450,14071.353972245899
ITA,451,32299.653907108797
NED,451,13591.853966653998
ITA,452,31008.5281128156
NED,452,13119.274579699599
ITA,453,28796.4736294272
NED,453,12299.6756010694
ITA,454,25373.4182046514
NED,454,11375.2786830727
ITA,455,20800.216157151
NED,455,10320.3786707706
ITA,456,16957.2659336028
NED,456,9394.0044331632
ITA,457,14018.0023421953
NED,457,8522.0064848498
ITA,458,12144.7035660292
NED,458,8094.905448941199
ITA,459,11149.7354558943
NED,459,7801.273486754
ITA,460,10859.6632036022
NED,460,7703.396166024901
ITA,461,11020.9271480583
NED,461,7739.9765788227
ITA,462,12865.8272421819
NED,462,8128.5198823229
