location,technology,time_step,production
AUS,Oil,775,429.4790845192101
AUS,Oil,776,1242.5358953271098
AUS,Oil,777,1479.8443487279328
AUS,Oil,778,1553.9406590725011
AUS,Oil,779,2275.8790341864096
AUS,Oil,780,2275.8790341864096
AUS,Oil,781,2275.8790341864096
AUS,Oil,782,1895.4621069381028
AUS,Oil,783,1219.5059610308308
AUS,Oil,784,1136.3979372659796
AUS,Oil,785,1338.6608384768097
AUS,Oil,786,2275.8790341864096
AUS,Oil,787,2275.8790341864096
AUS,Oil,788,1298.9549378937445
AUS,Oil,789,333.3541413694884
AUS,Oil,799,677.8018543226099
AUS,Oil,800,1529.909423285062
AUS,Oil,801,1508.8820919710797
AUS,Oil,802,1826.345827720379
AUS,Oil,803,2275.8790341864096
AUS,Oil,804,2275.8790341864096
AUS,Oil,805,2275.8790341864096
AUS,Oil,806,1347.090679450801
AUS,Oil,807,984.2001106122898
AUS,Oil,808,1062.3016269214204
AUS,Oil,809,1179.4539013851208
AUS,Oil,810,2275.8790341864096
AUS,Oil,811,2275.8790341864096
AUS,Oil,812,1555.4265428072267
AUS,Oil,813,374.40750250633846
AUS,Oil,823,612.717257398308
AUS,Oil,824,1506.8794889887686
AUS,Oil,825,2275.8790341864096
AUS,Oil,826,2275.8790341864096
AUS,Oil,827,2275.8790341864096
AUS,Oil,828,2275.8790341864096
AUS,Oil,829,2275.8790341864096
AUS,Oil,830,2120.7058143235827
AUS,Oil,831,1221.508564013111
AUS,Oil,832,1151.4174596331213
AUS,Oil,833,1243.5371968182426
AUS,Oil,834,2275.8790341864096
AUS,Oil,835,2275.8790341864096
AUS,Oil,836,2275.8790341864096
AUS,Oil,837,297.3072876883625
AUS,Oil,847,681.8070602871803
AUS,Oil,848,1465.8261278519185
AUS,Oil,849,2275.8790341864096
AUS,Oil,850,2275.8790341864096
AUS,Oil,851,2275.8790341864096
AUS,Oil,852,2275.8790341864096
AUS,Oil,853,2275.8790341864096
AUS,Oil,854,2115.3349008492332
AUS,Oil,855,1601.0018291562028
AUS,Oil,856,1521.899011355923
AUS,Oil,857,1588.9862112624996
AUS,Oil,858,2275.8790341864096
AUS,Oil,859,2275.8790341864096
AUS,Oil,860,2073.837128578827
AUS,Oil,861,603.7055439780497
AUS,Oil,871,627.7367797654697
AUS,Oil,872,1382.7181040870819
AUS,Oil,873,2275.8790341864096
AUS,Oil,874,1978.4924913170198
AUS,Oil,875,2275.8790341864096
AUS,Oil,876,2275.8790341864096
AUS,Oil,877,1676.6880402474471
AUS,Oil,878,1488.8560621482138
AUS,Oil,879,1412.7571488213798
AUS,Oil,880,1289.5970654108205
AUS,Oil,881,1390.7285160162319
AUS,Oil,882,2032.5627718387223
AUS,Oil,883,2241.3012357586595
AUS,Oil,884,814.9801586091635
AUS,Oil,885,203.1849475209283
AUS,Oil,898,172.14460129553026
AUS,Oil,899,242.23570567551997
AUS,Oil,900,136.09774761438985
AUS,Oil,906,436.48819495721
AUS,Oil,907,318.33461900237035
AUS,Oil,943,687.8148692340401
AUS,Oil,944,1551.938056090221
AUS,Oil,945,2024.5523599095795
AUS,Oil,946,2275.8790341864096
AUS,Oil,947,2275.8790341864096
AUS,Oil,948,2275.8790341864096
AUS,Oil,949,2275.8790341864096
AUS,Oil,950,2275.8790341864096
AUS,Oil,951,2175.639214317929
AUS,Oil,952,1760.208766247899
AUS,Oil,953,1719.1554051110288
AUS,Oil,954,2179.7540910367097
AUS,Oil,955,2275.8790341864096
AUS,Oil,956,1639.9253903065692
AUS,Oil,957,432.48298899263955
AUS,Oil,967,600.7016395046203
AUS,Oil,968,1350.676456370522
AUS,Oil,969,1654.0708081867488
AUS,Oil,970,1864.9836396953287
AUS,Oil,971,2275.8790341864096
AUS,Oil,972,2275.8790341864096
AUS,Oil,973,2275.8790341864096
AUS,Oil,974,2275.8790341864096
AUS,Oil,975,1276.5801460259536
AUS,Oil,976,1121.3784148988398
AUS,Oil,977,1177.4512984028224
AUS,Oil,978,1788.2452079998784
AUS,Oil,979,2275.8790341864096
AUS,Oil,980,902.0933883385587
AUS,Oil,981,216.20186690580977
AUS,Oil,991,525.6040276688882
AUS,Oil,992,1207.4903431371022
AUS,Oil,993,1562.9523724927822
AUS,Oil,994,2075.9528056782583
AUS,Oil,995,2275.8790341864096
AUS,Oil,996,2275.8790341864096
AUS,Oil,997,2275.8790341864096
AUS,Oil,998,1351.72773943442
AUS,Oil,999,1243.537196818228
AUS,Oil,1000,1262.561925149963
AUS,Oil,1001,1281.5866534816723
AUS,Oil,1002,1896.3857690432887
AUS,Oil,1003,2275.8790341864096
AUS,Oil,1004,1378.1728890748036
AUS,Oil,1005,234.22529374637998
AUS,Oil,1015,389.42702487347833
AUS,Oil,1016,1266.5671311145397
AUS,Oil,1017,1571.9640859130704
AUS,Oil,1018,1704.720487894163
AUS,Oil,1019,2275.8790341864096
AUS,Oil,1020,2275.8790341864096
AUS,Oil,1021,1744.0471048234886
AUS,Oil,1022,1237.5293878714
AUS,Oil,1023,1133.3940327925502
AUS,Oil,1024,1109.3627970051093
AUS,Oil,1025,1060.2990239391293
AUS,Oil,1026,1722.15930958448
AUS,Oil,1027,2275.8790341864096
AUS,Oil,1028,845.0192033434505
AUS,Oil,1029,209.19275646778806
AUS,Oil,1039,373.4062010152202
AUS,Oil,1040,1161.4304745445497
AUS,Oil,1041,1478.8430472367781
AUS,Oil,1042,1512.8872979356274
AUS,Oil,1043,1477.8417457456271
AUS,Oil,1044,1322.6400146185297
AUS,Oil,1045,922.119418161441
AUS,Oil,1046,770.9228929988585
AUS,Oil,1047,619.7263678363297
AUS,Oil,1048,589.68732310205
AUS,Oil,1049,720.8578184417493
AUS,Oil,1050,1553.9406590725011
AUS,Oil,1051,1344.6686474236703
AUS,Oil,1052,664.7849349377284
AUS,Oil,1067,29.959789553259725
AUS,Oil,1074,245.2396101489503
AUS,Oil,1111,298.3085891795099
AUS,Oil,1112,1053.2899135011303
AUS,Oil,1113,1384.7207070693803
AUS,Oil,1114,1385.7220085605204
AUS,Oil,1115,1369.7011847022404
AUS,Oil,1116,1300.611381813389
AUS,Oil,1117,1016.2417583288498
AUS,Oil,1118,935.1363375462897
AUS,Oil,1119,797.9580332597179
AUS,Oil,1120,801.9632392243102
AUS,Oil,1121,724.8630244063197
AUS,Oil,1122,1534.9159307407826
AUS,Oil,1123,1504.8768860064883
AUS,Oil,1124,843.0166003611594
AUS,Oil,1125,110.06390884467964
AUS,Oil,1135,439.49209943064034
AUS,Oil,1136,1212.49685059283
AUS,Oil,1137,1447.802701011362
AUS,Oil,1138,1455.81311294051
AUS,Oil,1139,1430.7759922051955
AUS,Oil,1140,2275.8790341864096
AUS,Oil,1141,1206.4787217486883
AUS,Oil,1142,590.6886245931682
AUS,Oil,1143,516.5923142486081
AUS,Oil,1144,495.564982934623
AUS,Oil,1145,544.6287560006303
AUS,Oil,1146,1399.7402294365202
AUS,Oil,1147,1831.4551137240742
AUS,Oil,1148,740.8838482645915
AUS,Oil,1149,98.04829095097011
AUS,Oil,1159,784.9411138748801
AUS,Oil,1160,1341.664742950241
AUS,Oil,1161,1554.9419605636394
AUS,Oil,1162,1747.1918468630502
AUS,Oil,1163,2275.8790341864096
AUS,Oil,1164,2275.8790341864096
AUS,Oil,1165,1677.5594349676103
AUS,Oil,1166,1358.6868682996628
AUS,Oil,1167,1182.4578058585284
AUS,Oil,1168,1105.3575910405598
AUS,Oil,1169,1256.5541162030895
AUS,Oil,1170,1765.2152737036195
AUS,Oil,1171,2275.8790341864096
AUS,Oil,1172,786.9437168571712
AUS,Oil,1173,72.01445218125991
AUS,Oil,1183,452.5090188155
AUS,Oil,1184,1309.62309523367
AUS,Oil,1185,1650.065602222192
AUS,Oil,1186,1648.0629992398972
AUS,Oil,1187,1677.1007424830605
AUS,Oil,1188,1969.833073026588
AUS,Oil,1189,1124.3823193722492
AUS,Oil,1190,1053.289913501123
AUS,Oil,1191,920.1168151791499
AUS,Oil,1192,914.1090062322837
AUS,Oil,1193,878.0621525511524
AUS,Oil,1194,1688.1150588856071
AUS,Oil,1195,2275.8790341864096
AUS,Oil,1196,953.1597643868372
AUS,Oil,1197,257.25522804265256
AUS,Oil,1207,517.59361573977
AUS,Oil,1208,1272.5749400613895
AUS,Oil,1209,1379.7141996136488
AUS,Oil,1210,1450.8066054847986
AUS,Oil,1211,1395.735023471927
AUS,Oil,1212,1213.4981520839629
AUS,Oil,1213,816.9827615914437
AUS,Oil,1214,560.6495798589103
AUS,Oil,1215,398.43873829379027
AUS,Oil,1216,260.2591325160829
AUS,Oil,1217,468.52984267377997
AUS,Oil,1218,1196.476026734541
AUS,Oil,1219,1223.511166995393
AUS,Oil,1220,572.6651977526199
AUS,Oil,1235,13.938965694979743
AUS,Oil,1279,313.3281115466598
AUS,Oil,1280,1141.404444721691
AUS,Oil,1281,1483.8495546925096
AUS,Oil,1282,1530.910724776213
AUS,Oil,1283,1967.2172952592846
AUS,Oil,1284,2275.8790341864096
AUS,Oil,1285,1935.8556337726259
AUS,Oil,1286,1083.036428052561
AUS,Oil,1287,824.9931735205828
AUS,Oil,1288,827.9970779940195
AUS,Oil,1289,838.0100929054497
AUS,Oil,1290,1482.8482532013622
AUS,Oil,1291,2018.2649906827573
AUS,Oil,1292,757.9059736140298
AUS,Oil,1303,363.39318610378996
AUS,Oil,1304,1149.414856650841
AUS,Oil,1305,1431.781877153091
AUS,Oil,1306,1496.866474077371
AUS,Oil,1307,1682.1072499387483
AUS,Oil,1308,2221.9064949313906
AUS,Oil,1309,1380.715501104809
AUS,Oil,1310,1363.693375755358
AUS,Oil,1311,1263.5632266411103
AUS,Oil,1312,1220.507262521969
AUS,Oil,1313,1103.3549880582686
AUS,Oil,1314,1591.9901157359127
AUS,Oil,1315,2117.466735771157
AUS,Oil,1316,803.9658422065913
AUS,Oil,1317,175.1485057689597
AUS,Oil,1327,412.45695916979
AUS,Oil,1328,1214.4994535751102
AUS,Oil,1329,1576.9705933687583
AUS,Oil,1330,1696.1254708147699
AUS,Oil,1331,1765.2152737035976
AUS,Oil,1332,1630.0395723993497
AUS,Oil,1333,1287.5944624285075
AUS,Oil,1334,1251.5476087473999
AUS,Oil,1335,1175.4486954205277
AUS,Oil,1336,1062.3016269213986
AUS,Oil,1337,1139.4018417394109
AUS,Oil,1338,1650.0656022221774
AUS,Oil,1339,1594.9940202093276
AUS,Oil,1340,931.1311315817129
AUS,Oil,1341,277.2812578655203
AUS,Oil,1351,302.31379514406854
AUS,Oil,1352,1093.341973146833
AUS,Oil,1353,1246.5411012916811
AUS,Oil,1354,1346.6712504059597
AUS,Oil,1355,1413.7584503125127
AUS,Oil,1356,1289.5970654108205
AUS,Oil,1357,1045.2795015719894
AUS,Oil,1358,984.200110612268
AUS,Oil,1359,922.119418161441
AUS,Oil,1360,759.90857659631
AUS,Oil,1361,737.8799437911694
AUS,Oil,1362,1349.6751548793727
AUS,Oil,1363,1433.7844801353713
AUS,Oil,1364,819.9866660648586
AUS,Oil,1365,166.1367923486696
AUS,Oil,1375,281.2864638300898
AUS,Oil,1376,1001.2222359617099
AUS,Oil,1377,1154.421364106529
AUS,Oil,1378,1152.4187611242705
AUS,Oil,1379,1178.452599893979
AUS,Oil,1380,985.2014121034226
AUS,Oil,1381,570.6625947703396
AUS,Oil,1382,320.3372219846524
AUS,Oil,1383,243.23700716666008
AUS,Oil,1384,135.09644612324973
AUS,Oil,1385,290.2981772503699
AUS,Oil,1386,1026.2547732402727
AUS,Oil,1387,1148.4135551596828
AUS,Oil,1388,435.48689346604806
AUS,Oil,1447,102.00595757748033
AUS,Oil,1448,848.4029209149003
AUS,Oil,1449,1179.57905344129
AUS,Oil,1450,1305.64610086826
AUS,Oil,1451,1496.7477362535792
AUS,Oil,1452,1586.7956272728334
AUS,Oil,1453,1493.746139886247
AUS,Oil,1454,1530.7658284164027
AUS,Oil,1455,1282.6338620522129
AUS,Oil,1456,1088.5306302995996
AUS,Oil,1457,1022.4955102188105
AUS,Oil,1458,1430.712616172772
AUS,Oil,1459,1570.7871133138378
AUS,Oil,1460,863.4109027514169
AUS,Oil,1461,85.99744361850026
AUS,Oil,1471,339.1320705948601
AUS,Oil,1472,1063.51732723869
AUS,Oil,1473,1260.6221553586292
AUS,Oil,1474,1333.6610002964626
AUS,Oil,1475,1438.7168731522688
AUS,Oil,1476,1309.6482293579938
AUS,Oil,1477,973.4694362194077
AUS,Oil,1478,907.4343161386387
AUS,Oil,1479,767.3598189975637
AUS,Oil,1480,579.2597799795503
AUS,Oil,1481,476.20497136861286
AUS,Oil,1482,926.4444264649301
AUS,Oil,1483,1385.6886706631503
AUS,Oil,1484,752.3518371610189
AUS,Oil,1485,76.99265451656265
AUS,Oil,1495,241.07992259611
AUS,Oil,1496,1064.51785936113
AUS,Oil,1497,1399.696120377259
AUS,Oil,1498,1398.6955882548082
AUS,Oil,1499,1498.7488004984498
AUS,Oil,1500,1329.6588718067214
AUS,Oil,1501,1074.5231805854673
AUS,Oil,1502,981.473693198921
AUS,Oil,1503,923.4428300975978
AUS,Oil,1504,851.4045172822098
AUS,Oil,1505,808.3816360174496
AUS,Oil,1506,1312.6498257253097
